id,label
0,Cervezas
1,Vino
2,Aderezos
3,Cervezas
4,Aderezos
5,Vino
6,Golosinas y Chocolates
7,Salchichas
8,Golosinas y Chocolates
9,Aceites y Vinagres
10,Cervezas
11,Vino
12,Golosinas y Chocolates
13,Quesos
14,Jugos
15,Quesos
16,Vino
17,Vino
18,Champagnes
19,Aderezos
20,Vino
21,Vino
22,Aderezos
23,Golosinas y Chocolates
24,Quesos
25,Quesos
26,Salchichas
27,Jugos
28,Vino
29,Jugos
30,Quesos
31,Golosinas y Chocolates
32,Vino
33,Aderezos
34,Quesos
35,Aguas
36,Aceites y Vinagres
37,Vino
38,Golosinas y Chocolates
39,Aderezos
40,Quesos
41,Vino
42,Cervezas
43,Golosinas y Chocolates
44,Quesos
45,Quesos
46,Vino
47,Golosinas y Chocolates
48,Golosinas y Chocolates
49,Golosinas y Chocolates
50,Cervezas
51,Golosinas y Chocolates
52,Cervezas
53,Vinos
54,Aguas
55,Quesos
56,Golosinas y Chocolates
57,Golosinas y Chocolates
58,Aderezos
59,Golosinas y Chocolates
60,Vino
61,Aderezos
62,Vino
63,Vino
64,Vino
65,Vino
66,Golosinas y Chocolates
67,Yogures
68,Aderezos
69,Cervezas
70,Whiskies
71,Aceites y Vinagres
72,Golosinas y Chocolates
73,Vino
74,Vino
75,Champagnes
76,Aderezos
77,Leches
78,Quesos
79,Yogures
80,Aguas
81,Jugos
82,Fiambres
83,Leches
84,Yogures
85,Golosinas y Chocolates
86,Aguas
87,Vino
88,Golosinas y Chocolates
89,Leches
90,Yogures
91,Jugos
92,Salchichas
93,Jugos
94,Vino
95,Vinos
96,Quesos
97,Golosinas y Chocolates
98,Vino
99,Yogures
100,Vino
101,Golosinas y Chocolates
102,Vino
103,Aguas
104,Quesos
105,Cervezas
106,Cervezas
107,Vino
108,Jugos
109,Golosinas y Chocolates
110,Jugos
111,Golosinas y Chocolates
112,Golosinas y Chocolates
113,Jugos
114,Leches
115,Golosinas y Chocolates
116,Aderezos
117,Golosinas y Chocolates
118,Fiambres
119,Quesos
120,Cervezas
121,Golosinas y Chocolates
122,Quesos
123,Quesos
124,Golosinas y Chocolates
125,Golosinas y Chocolates
126,Yogures
127,Aceites y Vinagres
128,Quesos
129,Vino
130,Vino
131,Aceites y Vinagres
132,Vino
133,Jugos
134,Jugos
135,Golosinas y Chocolates
136,Fiambres
137,Aguas
138,Aderezos
139,Vino
140,Golosinas y Chocolates
141,Cervezas
142,Quesos
143,Golosinas y Chocolates
144,Vino
145,Leches
146,Jugos
147,Golosinas y Chocolates
148,Golosinas y Chocolates
149,Quesos
150,Golosinas y Chocolates
151,Vino
152,Vino
153,Jugos
154,Aderezos
155,Golosinas y Chocolates
156,Fiambres
157,Vino
158,Golosinas y Chocolates
159,Quesos
160,Quesos
161,Vino
162,Jugos
163,Aderezos
164,Quesos
165,Cervezas
166,Cervezas
167,Salchichas
168,Jugos
169,Yogures
170,Vino
171,Jugos
172,Cervezas
173,Jugos
174,Vino
175,Cervezas
176,Cervezas
177,Quesos
178,Vino
179,Cervezas
180,Leches
181,Quesos
182,Golosinas y Chocolates
183,Vino
184,Vino
185,Vino
186,Jugos
187,Panificados
188,Jugos
189,Aguas
190,Cervezas
191,Golosinas y Chocolates
192,Golosinas y Chocolates
193,Vino
194,Champagnes
195,Leches
196,Whiskies
197,Quesos
198,Quesos
199,Vino
200,Aderezos
201,Vino
202,Golosinas y Chocolates
203,Cervezas
204,Fiambres
205,Champagnes
206,Cervezas
207,Jugos
208,Golosinas y Chocolates
209,Quesos
210,Quesos
211,Quesos
212,Golosinas y Chocolates
213,Vinos
214,Golosinas y Chocolates
215,Golosinas y Chocolates
216,Salchichas
217,Panificados
218,Quesos
219,Golosinas y Chocolates
220,Salchichas
221,Vino
222,Vino
223,Cervezas
224,Jugos
225,Panificados
226,Jugos
227,Quesos
228,Vino
229,Aderezos
230,Jugos
231,Cervezas
232,Aguas
233,Aguas
234,Vino
235,Aguas
236,Aguas
237,Vino
238,Cervezas
239,Panificados
240,Quesos
241,Cervezas
242,Salchichas
243,Leches
244,Vino
245,Golosinas y Chocolates
246,Vino
247,Aceites y Vinagres
248,Cervezas
249,Aderezos
250,Vino
251,Cervezas
252,Golosinas y Chocolates
253,Jugos
254,Golosinas y Chocolates
255,Yogures
256,Yogures
257,Leches
258,Vino
259,Cervezas
260,Vino
261,Golosinas y Chocolates
262,Cervezas
263,Quesos
264,Golosinas y Chocolates
265,Golosinas y Chocolates
266,Vino
267,Vino
268,Golosinas y Chocolates
269,Quesos
270,Whiskies
271,Jugos
272,Jugos
273,Cervezas
274,Jugos
275,Vino
276,Jugos
277,Whiskies
